date,flow_cfs
2016-09-17,173
2016-09-18,127
2016-09-19,187
2016-09-20,144
2016-09-21,88.1
2016-09-22,66.4
2016-09-23,80.7
2016-09-24,78.9
2016-09-25,89.8
2016-09-26,76.5
2016-09-27,62.5
2016-09-28,60.7
2016-09-29,58.2
2016-09-30,56.3
2016-10-01,56.9
2016-10-02,57.4
2016-10-03,57.4
2016-10-04,58.1
2016-10-05,111
2016-10-06,79.8
2016-10-07,62.1
2016-10-08,57.4
2016-10-09,55.5
2016-10-10,55.7
2016-10-11,107
2016-10-12,106
2016-10-13,90.7
2016-10-14,99.6
2016-10-15,94.5
2016-10-16,83.1
2016-10-17,77.8
2016-10-18,80
2016-10-19,75.5
2016-10-20,88.1
2016-10-21,75.7
2016-10-22,72.2
2016-10-23,68.8
2016-10-24,70.4
2016-10-25,66.7
2016-10-26,68.2
2016-10-27,67
2016-10-28,56.5
2016-10-29,57.2
2016-10-30,59.2
2016-10-31,55.9
2016-11-01,62.5
2016-11-02,62.2
2016-11-03,58.8
2016-11-04,59.6
2016-11-05,53.6
2016-11-06,87.8
2016-11-07,419
2016-11-08,80.2
2016-11-09,69.1
2016-11-10,62.2
2016-11-11,61.2
2016-11-12,61.2
2016-11-13,60
2016-11-14,61.5
2016-11-15,59.9
2016-11-16,61.5
2016-11-17,60.3
2016-11-18,324
2016-11-19,106
2016-11-20,65.3
2016-11-21,66.8
2016-11-22,67.5
2016-11-23,284
2016-11-24,104
2016-11-25,175
2016-11-26,82
2016-11-27,75.2
2016-11-28,84.3
2016-11-29,77.5
2016-11-30,119
2016-12-01,171
2016-12-02,171
2016-12-03,483
2016-12-04,566
2016-12-05,777
2016-12-06,288
2016-12-07,177
2016-12-08,211
2016-12-09,126
2016-12-10,104
2016-12-11,95.7
2016-12-12,86.9
2016-12-13,88.8
2016-12-14,83.5
2016-12-15,78.9
2016-12-16,75.2
2016-12-17,87
2016-12-18,82.9
2016-12-19,71.3
2016-12-20,76.6
2016-12-21,75
2016-12-22,75.1
2016-12-23,87.4
2016-12-24,78.8
2016-12-25,75.4
2016-12-26,72.7
2016-12-27,75
2016-12-28,93.4
2016-12-29,82.5
2016-12-30,78.1
2016-12-31,200
2017-01-01,109
2017-01-02,478
2017-01-03,190
2017-01-04,121
2017-01-05,105
2017-01-06,88.2
2017-01-07,57.9
2017-01-08,59.4
2017-01-09,64.9
2017-01-10,68.9
2017-01-11,71.8
2017-01-12,77.7
2017-01-13,76.8
2017-01-14,79
2017-01-15,84
2017-01-16,82
2017-01-17,145
2017-01-18,4720
2017-01-19,930
2017-01-20,1330
2017-01-21,1500
2017-01-22,502
2017-01-23,179
2017-01-24,98.9
2017-01-25,120
2017-01-26,110
2017-01-27,104
2017-01-28,95.2
2017-01-29,89.3
2017-01-30,83.8
2017-01-31,80.3
2017-02-01,78.2
2017-02-02,75.5
2017-02-03,72.6
2017-02-04,71.5
2017-02-05,71.5
2017-02-06,70.9
2017-02-07,69.2
2017-02-08,66.5
2017-02-09,65
2017-02-10,64.9
2017-02-11,66.4
2017-02-12,67.1
2017-02-13,68
2017-02-14,614
2017-02-15,155
2017-02-16,63.9
2017-02-17,97.6
2017-02-18,96.7
2017-02-19,171
2017-02-20,821
2017-02-21,341
2017-02-22,187
2017-02-23,136
2017-02-24,112
2017-02-25,95.2
2017-02-26,80.3
2017-02-27,73.9
2017-02-28,68.7
2017-03-01,72.9
2017-03-02,71.5
2017-03-03,68.5
2017-03-04,67.3
2017-03-05,1130
2017-03-06,654
2017-03-07,385
2017-03-08,223
2017-03-09,140
2017-03-10,130
2017-03-11,265
2017-03-12,262
2017-03-13,127
2017-03-14,103
2017-03-15,88.4
2017-03-16,78.3
2017-03-17,76.3
2017-03-18,62
2017-03-19,43.3
2017-03-20,43.6
2017-03-21,46.5
2017-03-22,51.4
2017-03-23,55.5
2017-03-24,59.3
2017-03-25,82.4
2017-03-26,75.1
2017-03-27,72.8
2017-03-28,69.4
2017-03-29,665
2017-03-30,263
2017-03-31,149
2017-04-01,115
2017-04-02,124
2017-04-03,65
2017-04-04,40.9
2017-04-05,38.7
2017-04-06,39.1
2017-04-07,38.8
2017-04-08,108
2017-04-09,119
2017-04-10,98
2017-04-11,307
2017-04-12,180
2017-04-13,108
2017-04-14,87.5
2017-04-15,79.9
2017-04-16,72.6
2017-04-17,195
2017-04-18,683
2017-04-19,221
2017-04-20,139
2017-04-21,108
2017-04-22,92
2017-04-23,81.5
2017-04-24,72.6
2017-04-25,70.4
2017-04-26,68.7
2017-04-27,66.9
2017-04-28,62.6
2017-04-29,66
2017-04-30,65.7
2017-05-01,64
2017-05-02,63.3
2017-05-03,154
2017-05-04,177
2017-05-05,84.8
2017-05-06,72.1
2017-05-07,70.4
2017-05-08,65
2017-05-09,66.3
2017-05-10,67.5
2017-05-11,64
2017-05-12,65
2017-05-13,66
2017-05-14,63.4
2017-05-15,62.6
2017-05-16,63.2
2017-05-17,62.6
2017-05-18,63.7
2017-05-19,63.6
2017-05-20,71.1
2017-05-21,130
2017-05-22,662
2017-05-23,156
2017-05-24,143
2017-05-25,87.4
2017-05-26,79.2
2017-05-27,73.6
2017-05-28,81.3
2017-05-29,961
2017-05-30,177
2017-05-31,118
2017-06-01,230
2017-06-02,304
2017-06-03,216
2017-06-04,1710
2017-06-05,1050
2017-06-06,377
2017-06-07,237
2017-06-08,165
2017-06-09,117
2017-06-10,97.9
2017-06-11,94.3
2017-06-12,88.3
2017-06-13,81.5
2017-06-14,76
2017-06-15,73.7
2017-06-16,71.1
2017-06-17,70.3
2017-06-18,67.7
2017-06-19,65
2017-06-20,74
2017-06-21,71.1
2017-06-22,195
2017-06-23,92.7
2017-06-24,660
2017-06-25,1130
2017-06-26,337
2017-06-27,417
2017-06-28,245
2017-06-29,167
2017-06-30,138
2017-07-01,105
2017-07-02,88.3
2017-07-03,80.6
2017-07-04,76
2017-07-05,69.6
2017-07-06,88.2
2017-07-07,71.1
2017-07-08,69.7
2017-07-09,72.6
2017-07-10,156
2017-07-11,80.1
2017-07-12,75.5
2017-07-13,79.6
2017-07-14,82.5
2017-07-15,300
2017-07-16,200
2017-07-17,410
2017-07-18,213
2017-07-19,270
2017-07-20,174
2017-07-21,122
2017-07-22,113
2017-07-23,147
2017-07-24,91.6
2017-07-25,86.4
2017-07-26,74.8
2017-07-27,73.2
2017-07-28,70.1
2017-07-29,70.9
2017-07-30,65
2017-07-31,61.3
2017-08-01,65.9
2017-08-02,789
2017-08-03,429
2017-08-04,195
2017-08-05,184
2017-08-06,135
2017-08-07,252
2017-08-08,3540
2017-08-09,1030
2017-08-10,472
2017-08-11,278
2017-08-12,196
2017-08-13,136
2017-08-14,109
2017-08-15,94.7
2017-08-16,83.8
2017-08-17,75.2
2017-08-18,73.4
2017-08-19,77
2017-08-20,73
2017-08-21,68
2017-08-22,71.1
2017-08-23,73.4
2017-08-24,76.6
2017-08-25,368
2017-08-26,Eqp
2017-08-27,
2017-08-28,
2017-08-29,
2017-08-30,1590
2017-08-31,898
2017-09-01,558
2017-09-02,378
2017-09-03,313
2017-09-04,257
2017-09-05,223
2017-09-06,243
2017-09-07,176
2017-09-08,154
2017-09-09,
2017-09-10,117
2017-09-11,91.7
2017-09-12,69.2
2017-09-13,64.9
2017-09-14,61.3
2017-09-15,63.5
2017-09-16,62.2
