date,flow_cfs
2016-09-17,264
2016-09-18,202
2016-09-19,234
2016-09-20,260
2016-09-21,161
2016-09-22,111
2016-09-23,149
2016-09-24,135
2016-09-25,230
2016-09-26,164
2016-09-27,117
2016-09-28,102
2016-09-29,99
2016-09-30,95.9
2016-10-01,96.8
2016-10-02,101
2016-10-03,101
2016-10-04,98.4
2016-10-05,148
2016-10-06,155
2016-10-07,104
2016-10-08,98.9
2016-10-09,97
2016-10-10,98.2
2016-10-11,198
2016-10-12,192
2016-10-13,148
2016-10-14,136
2016-10-15,156
2016-10-16,135
2016-10-17,125
2016-10-18,114
2016-10-19,118
2016-10-20,197
2016-10-21,123
2016-10-22,110
2016-10-23,107
2016-10-24,109
2016-10-25,105
2016-10-26,106
2016-10-27,106
2016-10-28,98.9
2016-10-29,98.1
2016-10-30,104
2016-10-31,103
2016-11-01,104
2016-11-02,134
2016-11-03,111
2016-11-04,109
2016-11-05,103
2016-11-06,130
2016-11-07,854
2016-11-08,136
2016-11-09,112
2016-11-10,101
2016-11-11,99.7
2016-11-12,100
2016-11-13,99.1
2016-11-14,98.9
2016-11-15,96.2
2016-11-16,97.6
2016-11-17,96.2
2016-11-18,595
2016-11-19,211
2016-11-20,105
2016-11-21,99.3
2016-11-22,101
2016-11-23,526
2016-11-24,170
2016-11-25,246
2016-11-26,125
2016-11-27,112
2016-11-28,119
2016-11-29,116
2016-11-30,138
2016-12-01,223
2016-12-02,230
2016-12-03,850
2016-12-04,902
2016-12-05,1370
2016-12-06,393
2016-12-07,248
2016-12-08,316
2016-12-09,180
2016-12-10,148
2016-12-11,147
2016-12-12,133
2016-12-13,125
2016-12-14,121
2016-12-15,111
2016-12-16,108
2016-12-17,121
2016-12-18,124
2016-12-19,103
2016-12-20,101
2016-12-21,102
2016-12-22,101
2016-12-23,127
2016-12-24,113
2016-12-25,105
2016-12-26,105
2016-12-27,104
2016-12-28,121
2016-12-29,112
2016-12-30,105
2016-12-31,428
2017-01-01,165
2017-01-02,1170
2017-01-03,264
2017-01-04,163
2017-01-05,135
2017-01-06,161
2017-01-07,94.8
2017-01-08,86.2
2017-01-09,88.7
2017-01-10,92
2017-01-11,97.8
2017-01-12,104
2017-01-13,104
2017-01-14,106
2017-01-15,107
2017-01-16,110
2017-01-17,323
2017-01-18,9480
2017-01-19,1690
2017-01-20,2320
2017-01-21,2640
2017-01-22,709
2017-01-23,302
2017-01-24,162
2017-01-25,183
2017-01-26,167
2017-01-27,171
2017-01-28,146
2017-01-29,137
2017-01-30,139
2017-01-31,130
2017-02-01,122
2017-02-02,119
2017-02-03,120
2017-02-04,117
2017-02-05,120
2017-02-06,120
2017-02-07,113
2017-02-08,112
2017-02-09,105
2017-02-10,105
2017-02-11,110
2017-02-12,115
2017-02-13,114
2017-02-14,1140
2017-02-15,260
2017-02-16,108
2017-02-17,231
2017-02-18,180
2017-02-19,214
2017-02-20,1600
2017-02-21,508
2017-02-22,281
2017-02-23,209
2017-02-24,177
2017-02-25,153
2017-02-26,129
2017-02-27,134
2017-02-28,118
2017-03-01,118
2017-03-02,111
2017-03-03,112
2017-03-04,121
2017-03-05,2520
2017-03-06,1130
2017-03-07,530
2017-03-08,353
2017-03-09,226
2017-03-10,214
2017-03-11,506
2017-03-12,526
2017-03-13,213
2017-03-14,175
2017-03-15,149
2017-03-16,130
2017-03-17,132
2017-03-18,119
2017-03-19,87.4
2017-03-20,87.2
2017-03-21,86.8
2017-03-22,91.3
2017-03-23,94.5
2017-03-24,104
2017-03-25,143
2017-03-26,124
2017-03-27,124
2017-03-28,118
2017-03-29,1780
2017-03-30,428
2017-03-31,248
2017-04-01,193
2017-04-02,224
2017-04-03,136
2017-04-04,84.1
2017-04-05,80.8
2017-04-06,77.3
2017-04-07,79.1
2017-04-08,137
2017-04-09,204
2017-04-10,160
2017-04-11,713
2017-04-12,327
2017-04-13,194
2017-04-14,155
2017-04-15,139
2017-04-16,131
2017-04-17,265
2017-04-18,1280
2017-04-19,377
2017-04-20,237
2017-04-21,182
2017-04-22,155
