date,flow_cfs
2016-09-17,0.93
2016-09-18,0.85
2016-09-19,1.02
2016-09-20,1.62
2016-09-21,0.87
2016-09-22,0.3
2016-09-23,0.25
2016-09-24,0.89
2016-09-25,1.57
2016-09-26,0.61
2016-09-27,0.41
2016-09-28,0.4
2016-09-29,0.39
2016-09-30,0.36
2016-10-01,0.42
2016-10-02,0.4
2016-10-03,0.32
2016-10-04,0.26
2016-10-05,0.34
2016-10-06,0.41
2016-10-07,0.56
2016-10-08,0.36
2016-10-09,0.34
2016-10-10,0.3
2016-10-11,0.31
2016-10-12,0.46
2016-10-13,0.51
2016-10-14,0.65
2016-10-15,0.35
2016-10-16,0.23
2016-10-17,0.22
2016-10-18,0.19
2016-10-19,0.17
2016-10-20,0.22
2016-10-21,3.85
2016-10-22,3.3
2016-10-23,1.81
2016-10-24,1.39
2016-10-25,1.29
2016-10-26,1.07
2016-10-27,1.97
2016-10-28,1.02
2016-10-29,0.49
2016-10-30,0.24
2016-10-31,0.19
2016-11-01,0.5
2016-11-02,0.36
2016-11-03,0.35
2016-11-04,0.28
2016-11-05,0.23
2016-11-06,17.1
2016-11-07,177
2016-11-08,68.1
2016-11-09,13.1
2016-11-10,5.88
2016-11-11,2.4
2016-11-12,1.63
2016-11-13,3.61
2016-11-14,1.12
2016-11-15,0.42
2016-11-16,0.12
2016-11-17,0.1
2016-11-18,0.07
2016-11-19,0.05
2016-11-20,0.03
2016-11-21,0.02
2016-11-22,0.01
2016-11-23,0.04
2016-11-24,0.06
2016-11-25,1.04
2016-11-26,1.1
2016-11-27,0.27
2016-11-28,0.07
2016-11-29,0.04
2016-11-30,0.04
2016-12-01,0.04
2016-12-02,0.09
2016-12-03,183
2016-12-04,379
2016-12-05,538
2016-12-06,509
2016-12-07,269
2016-12-08,105
2016-12-09,51.2
2016-12-10,30.1
2016-12-11,18.4
2016-12-12,13
2016-12-13,10.2
2016-12-14,9.02
2016-12-15,6.89
2016-12-16,5.94
2016-12-17,5.32
2016-12-18,4.9
2016-12-19,4.71
2016-12-20,4.72
2016-12-21,4.06
2016-12-22,4.08
2016-12-23,3.72
2016-12-24,3.69
2016-12-25,3.73
2016-12-26,3.92
2016-12-27,3.95
2016-12-28,4.45
2016-12-29,4.57
2016-12-30,3.71
