date,flow_cfs
2016-12-31,3.22
2017-01-01,3.12
2017-01-02,85.3
2017-01-03,257
2017-01-04,115
2017-01-05,37.2
2017-01-06,20.7
2017-01-07,13.2
2017-01-08,9.66
2017-01-09,9.01
2017-01-10,7.45
2017-01-11,7.08
2017-01-12,6.47
2017-01-13,5.49
2017-01-14,4.64
2017-01-15,4.54
2017-01-16,55
2017-01-17,202
2017-01-18,461
2017-01-19,676
2017-01-20,763
2017-01-21,682
2017-01-22,533
2017-01-23,312
2017-01-24,131
2017-01-25,74.8
2017-01-26,41.4
2017-01-27,27.3
2017-01-28,24.2
2017-01-29,18.7
2017-01-30,15.2
2017-01-31,13.9
2017-02-01,12.8
2017-02-02,12.9
2017-02-03,11.8
2017-02-04,10.4
2017-02-05,9.27
2017-02-06,8.62
2017-02-07,8.61
2017-02-08,9.14
2017-02-09,9.2
2017-02-10,8.98
2017-02-11,8.95
2017-02-12,9.49
2017-02-13,9.84
2017-02-14,23.9
2017-02-15,42.8
2017-02-16,22
2017-02-17,13.9
2017-02-18,11.7
2017-02-19,10.6
2017-02-20,191
2017-02-21,526
2017-02-22,652
2017-02-23,407
2017-02-24,141
2017-02-25,75.4
2017-02-26,43
2017-02-27,30.7
2017-02-28,24.3
2017-03-01,18.6
2017-03-02,14.7
2017-03-03,10.8
2017-03-04,9.14
2017-03-05,10.2
2017-03-06,12
2017-03-07,13.3
2017-03-08,33.2
2017-03-09,22.3
2017-03-10,20.2
2017-03-11,51.3
2017-03-12,120
2017-03-13,105
2017-03-14,48.4
2017-03-15,32.4
2017-03-16,18.7
2017-03-17,13.7
2017-03-18,11.2
2017-03-19,9.52
2017-03-20,8.52
2017-03-21,7.81
2017-03-22,7.38
2017-03-23,6.95
2017-03-24,7.06
2017-03-25,7.84
2017-03-26,7.91
2017-03-27,7.76
2017-03-28,7.45
2017-03-29,10.8
2017-03-30,10.3
2017-03-31,8.8
2017-04-01,7.02
2017-04-02,6.06
2017-04-03,123
2017-04-04,71.9
2017-04-05,23.7
2017-04-06,13.4
2017-04-07,9.44
2017-04-08,8.34
2017-04-09,7.64
2017-04-10,6.76
2017-04-11,7.01
2017-04-12,9.75
2017-04-13,11.1
2017-04-14,6.2
2017-04-15,6.14
2017-04-16,5.2
2017-04-17,4.62
2017-04-18,7.37
2017-04-19,38.9
2017-04-20,22.6
2017-04-21,9.21
2017-04-22,4.19
2017-04-23,2.64
2017-04-24,1.14
2017-04-25,0.42
2017-04-26,0.52
2017-04-27,1.13
2017-04-28,1.26
2017-04-29,0.82
2017-04-30,0.46
2017-05-01,0.24
2017-05-02,0.29
2017-05-03,0.41
2017-05-04,0.77
2017-05-05,0.69
2017-05-06,0.38
2017-05-07,0.18
2017-05-08,0.1
2017-05-09,0.08
2017-05-10,0.07
2017-05-11,0.07
2017-05-12,0.06
2017-05-13,0.05
2017-05-14,0.04
2017-05-15,0.03
2017-05-16,0.02
2017-05-17,0.02
2017-05-18,0.01
2017-05-19,0.01
2017-05-20,0
2017-05-21,0
2017-05-22,0
2017-05-23,0
2017-05-24,0
2017-05-25,0
2017-05-26,0
2017-05-27,0
2017-05-28,0
2017-05-29,0.01
2017-05-30,0.03
2017-05-31,0.07
2017-06-01,0.08
2017-06-02,0.08
2017-06-03,0.06
2017-06-04,4.33
2017-06-05,12.3
2017-06-06,12.1
2017-06-07,4.53
2017-06-08,2.8
2017-06-09,1.76
2017-06-10,1.23
2017-06-11,0.82
2017-06-12,0.38
2017-06-13,0.08
2017-06-14,0
2017-06-15,0
2017-06-16,0
2017-06-17,0.01
2017-06-18,0.01
2017-06-19,0.02
2017-06-20,0.27
2017-06-21,0.54
2017-06-22,3.53
2017-06-23,1.31
2017-06-24,1.37
2017-06-25,3.37
2017-06-26,2.98
2017-06-27,2.72
2017-06-28,2.82
2017-06-29,2.19
2017-06-30,1.84
2017-07-01,1.36
2017-07-02,1.24
2017-07-03,1.08
2017-07-04,0.98
2017-07-05,0.83
2017-07-06,0.62
2017-07-07,0.64
2017-07-08,0.51
2017-07-09,0.46
2017-07-10,0.87
2017-07-11,2.25
2017-07-12,1.33
2017-07-13,0.32
2017-07-14,0.1
2017-07-15,0.25
2017-07-16,0.33
2017-07-17,2.89
2017-07-18,2.03
2017-07-19,1.81
2017-07-20,1.5
2017-07-21,1
2017-07-22,1.13
2017-07-23,1.1
2017-07-24,1.15
2017-07-25,1.41
2017-07-26,1.92
2017-07-27,1.53
2017-07-28,0.7
2017-07-29,0.31
2017-07-30,0.15
2017-07-31,0.08
2017-08-01,0.04
2017-08-02,0.04
2017-08-03,0.04
2017-08-04,4.64
2017-08-05,4.26
2017-08-06,1.5
2017-08-07,3.12
2017-08-08,308
2017-08-09,380
2017-08-10,248
2017-08-11,75.2
2017-08-12,32.4
2017-08-13,14.4
2017-08-14,6.58
2017-08-15,3.67
2017-08-16,1.87
2017-08-17,0.89
2017-08-18,0.15
2017-08-19,0.04
2017-08-20,0.09
2017-08-21,0.1
2017-08-22,0.21
2017-08-23,2.23
2017-08-24,0.71
2017-08-25,0.14
2017-08-26,279
2017-08-27,3870
2017-08-28,10200
2017-08-29,5340
2017-08-30,3480
2017-08-31,2480
2017-09-01,1780
2017-09-02,1240
2017-09-03,707
2017-09-04,302
2017-09-05,144
2017-09-06,67.1
2017-09-07,35
2017-09-08,23
2017-09-09,13.5
2017-09-10,8.33
2017-09-11,6.15
2017-09-12,5.25
2017-09-13,4.25
2017-09-14,4.54
2017-09-15,5.78
2017-09-16,5.88
