date,flow_cfs
2017-07-12,17.1
2017-07-13,13
2017-07-14,9.54
2017-07-15,81
2017-07-16,40.3
2017-07-17,17.8
2017-07-18,19
2017-07-19,12.8
2017-07-20,7.99
2017-07-21,51.9
2017-07-22,81.2
2017-07-23,19.8
2017-07-24,11.6
2017-07-25,8.02
2017-07-26,6.91
2017-07-27,16
2017-07-28,10.1
2017-07-29,5.78
2017-07-30,4
2017-07-31,3.12
2017-08-01,2.88
2017-08-02,63.2
2017-08-03,13.6
2017-08-04,5.55
2017-08-05,10.1
2017-08-06,5.23
2017-08-07,100
2017-08-08,938
2017-08-09,677
2017-08-10,447
2017-08-11,211
2017-08-12,121
2017-08-13,62.7
2017-08-14,33.5
2017-08-15,19.8
2017-08-16,14
2017-08-17,10.9
2017-08-18,8.15
2017-08-19,5.91
2017-08-20,5.42
2017-08-21,4.97
2017-08-22,4.51
2017-08-23,5.84
2017-08-24,5.84
2017-08-25,11.8
2017-08-26,905
2017-08-27,9920
2017-08-28,34400
2017-08-29,16900
2017-08-30,6350
2017-08-31,3630
2017-09-01,2520
2017-09-02,1880
2017-09-03,1340
2017-09-04,829
2017-09-05,428
2017-09-06,269
2017-09-07,189
2017-09-08,135
2017-09-09,90.9
2017-09-10,60.9
2017-09-11,44.6
2017-09-12,35.1
2017-09-13,31.1
2017-09-14,26.9
2017-09-15,30.8
2017-09-16,31.1
