HS_SIX	SCTG_TWO	SCTG_GROUP	NOTES
040819	07	06-09	
040891	07	06-09	
040899	07	06-09	
040900	04	01-05	
041000	04	01-05	
050100	04	01-05	
050210	04	01-05	
050290	04	01-05	
050400	04	01-05	
050510	04	01-05	
050590	04	01-05	
050610	04	01-05	
050690	04	01-05	
050710	04	01-05	
050790	04	01-05	
050800	04	01-05	
051000	04	01-05	
051110	04	01-05	
051191	04	01-05	
051199	04	01-05	
060110	03	01-05	
060120	03	01-05	
060210	03	01-05	
060220	03	01-05	
060230	03	01-05	
060240	03	01-05	
060290	03	01-05	
060311	03	01-05	
060312	03	01-05	
060313	03	01-05	
060314	03	01-05	
060315	03	01-05	
060319	03	01-05	
060390	03	01-05	
060420	03	01-05	
060490	03	01-05	
070110	03	01-05	
070190	03	01-05	
070200	03	01-05	
070310	03	01-05	
070320	03	01-05	
070390	03	01-05	
070410	03	01-05	
070420	03	01-05	
070490	03	01-05	
070511	03	01-05	
070519	03	01-05	
070521	03	01-05	
070529	03	01-05	
070610	03	01-05	
070690	03	01-05	
070700	03	01-05	
070810	03	01-05	
070820	03	01-05	
070890	03	01-05	
070920	03	01-05	
070930	03	01-05	
070940	03	01-05	
070951	03	01-05	
070959	03	01-05	
070960	03	01-05	
070970	03	01-05	
070991	03	01-05	
070992	03	01-05	
070993	03	01-05	
070999	03	01-05	
071010	07	06-09	
071021	07	06-09	
071022	07	06-09	
071029	07	06-09	
071030	07	06-09	
071040	07	06-09	
071080	07	06-09	
071090	07	06-09	
071120	07	06-09	
071140	07	06-09	
071151	07	06-09	
071159	07	06-09	
071190	07	06-09	
071220	03	01-05	
071231	03	01-05	
071232	03	01-05	
071233	03	01-05	
071239	03	01-05	
071290	03	01-05	
071310	03	01-05	
071320	03	01-05	
071331	03	01-05	
071332	03	01-05	
071333	03	01-05	
071334	03	01-05	
071335	03	01-05	
071339	03	01-05	
071340	03	01-05	
071350	03	01-05	
071360	03	01-05	
071390	03	01-05	
071410	03	01-05	
071420	03	01-05	
071430	03	01-05	
071440	03	01-05	
071450	03	01-05	
071490	03	01-05	
080111	03	01-05	
080112	03	01-05	
080119	03	01-05	
080121	03	01-05	
080122	03	01-05	
080131	03	01-05	
080132	03	01-05	
080211	03	01-05	
080212	03	01-05	
080221	03	01-05	
080222	03	01-05	
080231	03	01-05	
080232	03	01-05	
080241	03	01-05	
080242	03	01-05	
080251	03	01-05	
080252	03	01-05	
080261	03	01-05	
080262	03	01-05	
080270	03	01-05	
080280	03	01-05	
080290	03	01-05	
080310	03	01-05	
080390	03	01-05	
080410	03	01-05	
080420	03	01-05	
080430	03	01-05	
080440	03	01-05	
080450	03	01-05	
080510	03	01-05	
080520	03	01-05	
080540	03	01-05	
080550	03	01-05	
080590	03	01-05	
080610	03	01-05	
080620	03	01-05	
080711	03	01-05	
080719	03	01-05	
