Port,Commodity,Total Exports Value ($US),Vessel Total Exports Value ($US),Vessel Total Exports SWT (kg),Air Total Exports Value ($US),Air Total Exports SWT (kg),Containerized Vessel Total Exports Value ($US),Containerized Vessel Total Exports SWT (kg)
"Alcan, AK (Port)","0302 Fish, Fresh Or Chilled (no Fillets Or Other Meat)",12071723,,,,,,
"Alcan, AK (Port)","0303 Fish, Frozen (no Fish Fillets Or Other Fish Meat)",973517,,,,,,
"Alcan, AK (Port)",1006 Rice,46990,,,,,,
"Alcan, AK (Port)","2005 Vegetables Nesoi Prepared Etc Nesoi, Not Frozen",58032,,,,,,
"Alcan, AK (Port)",2106 Food Preparations Nesoi,8273,,,,,,
"Anchorage, AK (Port)","0101 Horses, Asses, Mules And Hinnies, Live",10995,,,10995,10,,
"Anchorage, AK (Port)","0102 Bovine Animals, Live",20916,,,20916,2947,,
"Anchorage, AK (Port)","0103 Swine, Live",179400,,,179400,11870,,
"Anchorage, AK (Port)","0106 Animals, Live, Nesoi",11001,,,11001,34,,
"Anchorage, AK (Port)","0201 Meat Of Bovine Animals, Fresh Or Chilled",3211714,,,3211714,205866,,
"Anchorage, AK (Port)","0202 Meat Of Bovine Animals, Frozen",48101,,,48101,4333,,
"Anchorage, AK (Port)","0203 Meat Of Swine (pork), Fresh, Chilled Or Frozen",1019017,,,1019017,226714,,
"Anchorage, AK (Port)","0206 Ed Offal, Bovine, Swine, Sheep, Goat, Horse, Etc.",41312,,,41312,51792,,
"Anchorage, AK (Port)","0207 Meat & Ed Offal Of Poultry, Fresh, Chill Or Frozen",102343,,,102343,128712,,
"Anchorage, AK (Port)","0210 Meat & Ed Offal Salted, Dried Etc. & Flour & Meal",105151,36104,20425,69047,13395,36104,20425
"Anchorage, AK (Port)","0301 Fish, Live",342132,,,342132,89994,,
"Anchorage, AK (Port)","0302 Fish, Fresh Or Chilled (no Fillets Or Other Meat)",55556813,24210161,10764380,9182079,2332078,236148,113575
"Anchorage, AK (Port)","0303 Fish, Frozen (no Fish Fillets Or Other Fish Meat)",1000050617,999609617,390877852,56987,29245,175088706,57048644
"Anchorage, AK (Port)","0304 Fish Fillets & Oth Fish Meat, Fresh, Chill Or Froz",623535448,623122533,235179471,387617,52900,49502158,23660041
"Anchorage, AK (Port)","0305 Fish, Dried, Salted Etc, Smoked Etc; Ed Fish Meal",38177423,34045605,18576900,4131818,303795,744522,399621
"Anchorage, AK (Port)",0306 Crustaceans Live Frsh Etc Smoked/cooked Flours Etc,137721050,135365976,13870986,2355074,208273,44831994,5131046
"Anchorage, AK (Port)",0307 Molluscs Live Fresh Etc; Smoked; Flours Etc Edible,7712477,80157,22461,7632320,614710,,
"Anchorage, AK (Port)",0308 Aquatic Inverteb Live Etc; Smoked; Flour Etc Nesoi,3176305,,,3176305,98957,,
"Anchorage, AK (Port)","0401 Milk And Cream, Not Concentrated Or Sweetened",26044,,,26044,13290,,
"Anchorage, AK (Port)","0402 Milk And Cream, Concentrated Or Sweetened",6965,,,6965,3368,,
"Anchorage, AK (Port)","0404 Whey & Milk Products, Sweetened Etc. Or Not, Nesoi",82524,,,82524,4501,,
"Anchorage, AK (Port)",0406 Cheese And Curd,113705,,,113705,38311,,
"Anchorage, AK (Port)","0407 Birds' Eggs, In Shell, Fresh, Preserved Or Cooked",15630,,,15630,478,,
"Anchorage, AK (Port)","0408 Birds' Eggs, Not In Shell & Yolks, Fresh, Dry, Etc",8000,,,8000,5172,,
"Anchorage, AK (Port)","0409 Honey, Natural",7931,,,7931,3685,,
"Anchorage, AK (Port)","0501 Human Hair, Unworked And Waste Of Human Hair",34199,,,34199,1287,,
"Anchorage, AK (Port)",0502 Hogs' Hair Etc; Badger Hair Etc; Waste Hair Etc.,26968,,,26968,479,,
"Anchorage, AK (Port)","0504 Animal (not Fish) Guts, Bladders, Stomachs & Parts",26865,26865,9154,,,,
"Anchorage, AK (Port)",0505 Bird Skins & Other Feathered Parts And Down,3040,,,3040,12,,
"Anchorage, AK (Port)","0506 Bones & Horn-cores, Unworked Etc; Powder & Waste",9048,,,9048,29832,,
"Anchorage, AK (Port)","0507 Ivory, Tortoise-shell, Whalebone, Horns Etc, Unwrk",95092,,,78400,542,,
"Anchorage, AK (Port)","0510 Ambergris, Castoreum Etc; Glands Etc For Pharmacy",21000,,,21000,1060,,
"Anchorage, AK (Port)","0511 Animal Products Nesoi; Dead Animals, Inedible Etc.",7327338,6165074,11827094,1162264,72046,552380,1213975
"Anchorage, AK (Port)","0601 Bulbs, Tubers Etc; Chicory Plants & Roots Nesoi",117458,,,117458,4610,,
"Anchorage, AK (Port)","0602 Live Plants Nesoi, Cuttings Etc.; Mushroom Spawn",17816,,,17816,2900,,
"Anchorage, AK (Port)","0604 Foliage, Grasses Etc For Bouquets Etc, Prepared",40021,,,40021,10575,,
"Anchorage, AK (Port)","0703 Onions, Shallots, Garlic, Leeks Etc, Fr Or Chilled",9560,9560,22902,,,,
"Anchorage, AK (Port)","0704 Cabbages, Cauliflower, Kale Etc, Fresh Or Chilled",57771,7035,4445,50736,53235,,
"Anchorage, AK (Port)","0705 Lettuce And Chicory, Fresh Or Chilled",9100,9100,16511,,,,
"Anchorage, AK (Port)","0708 Leguminous Vegetables, Shelled Or Not, Fr Or Chill",6040,,,6040,1655,,
"Anchorage, AK (Port)","0709 Vegetables Nesoi, Fresh Or Chilled",68717,6493,9843,62224,16090,,
"Anchorage, AK (Port)","0711 Vegetables, Temporarily Preserved, Not Now Edible",12150,,,12150,8692,,
"Anchorage, AK (Port)","0712 Vegetables, Dried, Whole, Cut Etc., No Added Prep",75185,,,75185,9399,,
"Anchorage, AK (Port)","0713 Leguminous Vegetables, Dried Shelled",2520,,,2520,4032,,
"Anchorage, AK (Port)","0801 Coconuts, Brazil Nuts & Cashew Nuts, Fresh Or Dry",3120,,,3120,1239,,
"Anchorage, AK (Port)","0805 Citrus Fruit, Fresh Or Dried",6010,,,6010,4492,,
"Anchorage, AK (Port)","0806 Grapes, Fresh Or Dried",104288,,,104288,8847,,
"Anchorage, AK (Port)","0809 Apricots, Cherries, Peaches, Plums & Sloes, Fresh",6754754,,,6754754,1048131,,
"Anchorage, AK (Port)","0810 Fruit Nesoi, Fresh",1970771,,,1970771,212807,,
"Anchorage, AK (Port)","0811 Fruit & Nuts (raw Or Cooked By Steam Etc), Frozen",31872,,,31872,5837,,
"Anchorage, AK (Port)",0813 Fruit Dried Nesoi; Mixtures Of Nuts Or Dried Fruit,25800,,,25800,18559,,
"Anchorage, AK (Port)","0814 Peel, Citrus Or Melon, Frsh/frzn/dried/provsl Pres",12000,,,12000,12604,,
"Anchorage, AK (Port)",0901 Coffee; Coffee Husks Etc; Substitutes With Coffee,18890,,,18890,608,,
"Anchorage, AK (Port)","0902 Tea, Whether Or Not Flavored",38305,,,38305,10886,,
"Anchorage, AK (Port)","0908 Nutmeg, Mace And Cardamoms",20818,,,20818,7927,,
"Anchorage, AK (Port)",1006 Rice,13628,,,13628,7149,,
"Anchorage, AK (Port)","1104 Cereal Grains, Worked Etc Nesoi; Cereal Germs, Wrk",24466,,,24466,35010,,
"Anchorage, AK (Port)","1106 Flour & Meal Of Dry, Legum Vegs, Sago, Fruit Etc.",25620,,,25620,22042,,
"Anchorage, AK (Port)",1208 Flour & Meal Of Oil Seed & Olea Fruit (no Mustard),5400,,,5400,1769,,
"Anchorage, AK (Port)","1209 Seeds, Fruit And Spores, For Sowing",3371734,,,3371734,7302,,
"Anchorage, AK (Port)","1210 Hop Cones, Fresh Or Dried; Lupulin",33479,,,33479,7279,,
"Anchorage, AK (Port)","1211 Plants Etc For Pharmacy, Perfume, Insecticides Etc",5151608,,,5151608,43078,,
"Anchorage, AK (Port)","1212 Locust Beans, Seaweed, S Beet & Cane; Fr Pits Etc.",18200,,,18200,2430,,
"Anchorage, AK (Port)","1301 Lac; Natural Gums, Resins, Gum-resins And Balsams",29990,,,29990,6647,,
"Anchorage, AK (Port)",1302 Veg Saps & Extracts; Pectates Etc; Agar-agar Etc.,790161,,,790161,33029,,
"Anchorage, AK (Port)","1501 Pig Fat And Poultry Fat Other Than Head 0209, 1503",12053,,,12053,26719,,
"Anchorage, AK (Port)","1504 Fats & Oils, Their Fractions, Fish & Marine Mammal",11631656,10893644,7135937,738012,21376,409414,382955
"Anchorage, AK (Port)",1505 Wool Grease & Fatty Substances Derived Therefrom,3929,,,3929,1194,,
"Anchorage, AK (Port)","1507 Soybean Oil & Its Fractions, Not Chemic Modified",8228,2775,433,5453,841,,
"Anchorage, AK (Port)","1509 Olive Oil & Its Fractions, Not Chemically Modified",4434,,,4434,396,,
"Anchorage, AK (Port)","1515 Fixed Veg Fats & Oils Nesoi Etc, Not Chem Modified",57944,,,57944,19909,,
"Anchorage, AK (Port)","1516 An Or Veg Fats & Oils, Hydrogen Etc, Not Fur Prep",285745,203697,149240,82048,4429,203697,149240
"Anchorage, AK (Port)",1517 Margarine; Edible Mixtures Etc An Or Veg Fat & Oil,30431,,,30431,12865,,
"Anchorage, AK (Port)","1602 Prepared Or Preserv Meat, Meat Offal & Blood Nesoi",55563,,,55563,13455,,
"Anchorage, AK (Port)","1603 Extracts Etc. Of Meat, Fish, Crustaceans, Etc.",910388,910388,604586,,,,
"Anchorage, AK (Port)",1604 Prep Or Pres Fish; Caviar & Caviar Substitutes,28203,,,28203,8336,,
"Anchorage, AK (Port)","1605 Crustaceans, Molluscs Etc. Prepared Or Preserved",1785505,1785505,278695,,,537953,135571
"Anchorage, AK (Port)","1701 Cane Or Beet Sugar & Chem Pure Sucrose, Solid Form",21821,,,21821,33643,,
"Anchorage, AK (Port)","1702 Sugars Nesoi, Incl Chem Pure Lactose Etc; Caramel",38185,,,38185,14975,,
"Anchorage, AK (Port)","1704 Sugar Confection (incl White Chocolate), No Cocoa",45276,,,45276,15806,,
"Anchorage, AK (Port)",1806 Chocolate & Other Food Products Containing Cocoa,252804,,,252804,76206,,
"Anchorage, AK (Port)",1901 Malt Ext; Food Prep Of Flour Etc Un 40% Cocoa Etc,907309,,,907309,149923,,
"Anchorage, AK (Port)","1904 Foods Prep By Swell Cereal; Cereal Nesoi, Grain Fm",4318,,,4318,2175,,
"Anchorage, AK (Port)","1905 Bread, Pastry, Cakes Etc; Comm Wafrs, Emp Caps Etc",279708,,,279708,72825,,
"Anchorage, AK (Port)","2001 Veg, Fruit, Nuts Etc, Prep Or Pres By Vinegar Etc",12400,,,12400,17145,,
"Anchorage, AK (Port)","2005 Vegetables Nesoi Prepared Etc Nesoi, Not Frozen",23406,,,23406,23561,,
"Anchorage, AK (Port)","2006 Veg/fruit/nuts/fruit-peel Etc, Preserved By Sugar",9422,,,9422,6294,,
"Anchorage, AK (Port)","2008 Fruit, Nuts Etc Prepared Or Preserved Nesoi",32539,,,32539,14418,,
"Anchorage, AK (Port)",2009 Fruit Juice Nt Frtfd W Vit/mnl Veg Juice No Spirit,114338,,,114338,58425,,
"Anchorage, AK (Port)","2101 Extracts Etc Of Coffee, Tea Or Mate; Roast Chicory",241510,,,241510,20739,,
"Anchorage, AK (Port)",2102 Yeasts; Dead Sing-cell Micro-org Nesoi; Bak Powder,102324,,,102324,14130,,
"Anchorage, AK (Port)","2103 Sauces & Prep; Mixed Condiments, Mustard Flour Etc",72294,,,72294,14637,,
"Anchorage, AK (Port)","2104 Soups, Broths & Preps; Homogenized Comp Food Preps",4450,,,4450,3464,,
"Anchorage, AK (Port)",2106 Food Preparations Nesoi,6937871,,,6937871,307114,,
"Anchorage, AK (Port)","2201 Waters, Natural Etc, Not Sweetened Etc; Ice & Snow",17192,,,17192,40632,,
"Anchorage, AK (Port)","2202 Waters, Sweetened Etc & Oth Nonalc Beverages Nesoi",467434,,,467434,87754,,
"Anchorage, AK (Port)",2203 Beer Made From Malt,3500,,,3500,8154,,
"Anchorage, AK (Port)",2204 Wine Of Fresh Grapes; Grape Must Nesoi,2105576,,,2105576,286464,,
"Anchorage, AK (Port)",2205 Vermouth & Oth Wine Of Fresh Grapes Spec Flavored,18400,,,18400,19019,,
"Anchorage, AK (Port)","2207 Ethyl Alcohol, Undenat, Nun80% Alc; Alcohol, Denat",26872,,,26872,31407,,
"Anchorage, AK (Port)","2208 Ethyl Alcohol, Undenat, Und80% Alc; Spirit Beverag",11883,,,11883,5322,,
"Anchorage, AK (Port)","2301 Flour, Meal Etc Of Meat Etc, Not For Human; Greavs",64211045,64211045,51912220,,,17923336,12559000
"Anchorage, AK (Port)",2303 Residues Of Starch Mfr Or Sugar Mfr Or Brewing Etc,10774,,,10774,305,,
"Anchorage, AK (Port)",2309 Preparations Used In Animal Feeding,345963,,,345963,75854,,
"Anchorage, AK (Port)","2401 Tobacco, Unmanufactured; Tobacco Refuse",147717,,,147717,14452,,
"Anchorage, AK (Port)","2402 Cigars, Cigarettes Etc., Of Tobacco Or Substitutes",97529,,,97529,2432,,
"Anchorage, AK (Port)",2403 Tobacco & Tobacco Subst Mfrs Nesoi; Tob Proces Etc,12452,,,12452,3028,,
"Anchorage, AK (Port)",4101 Raw Hides & Skins Of Bovine Or Equine Animals,1173173,,,1173173,39485,,
"Anchorage, AK (Port)",4103 Raw Hides And Skins Nesoi (fr Or Pres Not Tan Etc),63600,,,63600,3772,,
"Anchorage, AK (Port)","4104 Bovine Or Equine Leather, No Hair Nesoi",172005,,,172005,4718,,
"Anchorage, AK (Port)","4105 Sheep Or Lamb Skin Leather, No Wool Nesoi",765190,,,765190,19703,,
"Anchorage, AK (Port)","4106 Other Animal N Leather, No Hair Nesoi",3266,,,3266,82,,
"Anchorage, AK (Port)","4107 Leather Furt Prep Aft Tan/crust, No Hair On,nes",591308,,,591308,11039,,
"Anchorage, AK (Port)","4112 Sheep/lamb Ltr,ft Prp Tan/crus, W/o Wool,nt Hd4114",31729,,,31729,936,,
"Anchorage, AK (Port)","4113 Lthr Fthr Perp After Tanning,of Oth Aml, W/o Wl/hr",36436,,,36436,20004,,
"Anchorage, AK (Port)",4114 Chamois/patent/patent Laminated/metallized Leather,8848,,,8848,694,,
"Anchorage, AK (Port)","4115 Comps. Lthr,fbr Slb/sht/srp;lthr Wst/dust/pwd/flou",20148,,,20148,244,,
"Anchorage, AK (Port)","5101 Wool, Not Carded Or Combed",17129,,,17129,4361,,
"Anchorage, AK (Port)",5103 Waste Of Wool Or Of Fine Or Coarse Animal Hair,2711,,,2711,208,,
"Anchorage, AK (Port)","5105 Wool & Fine Or Coarse Animal Hair, Carded & Combed",64551,,,64551,14853,,
"Anchorage, AK (Port)","5106 Yarn Of Carded Wool, Not Put Up For Retail Sale",42571,,,42571,1331,,
"Anchorage, AK (Port)","5109 Yarn Of Wool Or Fine Animal Hair, For Retail Sale",8765,,,8765,312,,
"Anchorage, AK (Port)",5111 Woven Fabrics Of Carded Wool Or Fine Animal Hair,73383,,,73383,2181,,
"Anchorage, AK (Port)",5112 Woven Fabrics Of Combed Wool Or Fine Animal Hair,8328,,,8328,455,,
"Anchorage, AK (Port)","5201 Cotton, Not Carded Or Combed",16079,,,16079,7722,,
"Anchorage, AK (Port)",5202 Cotton Waste (including Yarn Waste Etc.),4300,,,4300,8665,,
"Anchorage, AK (Port)","5204 Cotton Sewing Thread, Retail Packed Or Not",24296,,,24296,216,,
"Anchorage, AK (Port)",5205 Cotton Yarn (not Sewing Thread) Nu85%cot No Retail,38795,,,38795,5433,,
"Anchorage, AK (Port)",5206 Cotton Yarn (not Sewing Thread) Un85%cot No Retail,2830,,,2830,906,,
"Anchorage, AK (Port)","5208 Woven Cotton Fabrics, Nu 85% Cot, Wt Nov 200 G/m2",320565,,,320565,19037,,
"Anchorage, AK (Port)","5209 Woven Cotton Fabrics, Nu 85% Cot, Wt Ov 200 G/m2",136899,,,136899,10650,,
"Anchorage, AK (Port)","5210 Woven Cotton Fabrics, Un85%cot, mmfmix, Nov200g/m2",11595,,,11595,814,,
"Anchorage, AK (Port)","5211 Woven Cotton Fabrics, Un85%cot, mmfmix, Ov200g/m2",44725,,,44725,6965,,
"Anchorage, AK (Port)",5212 Woven Cotton Fabrics Nesoi,28057,,,28057,2000,,
"Anchorage, AK (Port)","5301 Flax, Raw Etc But Not Spun; Flax Tow And Waste",11637,,,11637,3138,,
"Anchorage, AK (Port)","5303 Jute & Oth Text Bast Fib Nesoi, Raw Etc & Tow Etc",4000,,,4000,1959,,
"Anchorage, AK (Port)",5309 Woven Fabrics Of Flax,72719,,,72719,1355,,
"Anchorage, AK (Port)",5311 Wov Fab Of Ot Veg Textile Fib Wov Fab Of ppr Yarn,11471,,,11471,1626,,
"Dalton Cache, AK (Port)","0303 Fish, Frozen (no Fish Fillets Or Other Fish Meat)",4106,,,,,,
"Juneau, AK (Port)","0303 Fish, Frozen (no Fish Fillets Or Other Fish Meat)",544311,544311,399162,,,544311,399162
"Juneau, AK (Port)","0709 Vegetables Nesoi, Fresh Or Chilled",12083,,,,,,
"Ketchikan, AK (Port)","0302 Fish, Fresh Or Chilled (no Fillets Or Other Meat)",2550262,2542935,1547850,7327,554,,
"Ketchikan, AK (Port)",2106 Food Preparations Nesoi,52571,,,,,,
"Sitka, AK (Port)","0302 Fish, Fresh Or Chilled (no Fillets Or Other Meat)",39561,39561,35824,,,,
"Skagway, AK (Port)","0302 Fish, Fresh Or Chilled (no Fillets Or Other Meat)",1164712,,,,,,
"Skagway, AK (Port)",1005 Corn (maize),28254,,,,,,
"Skagway, AK (Port)",2309 Preparations Used In Animal Feeding,212863,,,,,,
"Skagway, AK (Port)","5101 Wool, Not Carded Or Combed",29800,,,,,,
"Wrangell, AK (Port)","0302 Fish, Fresh Or Chilled (no Fillets Or Other Meat)",760613,760613,321839,,,760613,321839
"Wrangell, AK (Port)","0303 Fish, Frozen (no Fish Fillets Or Other Fish Meat)",23736588,23736588,12339494,,,22434657,10778418
"Wrangell, AK (Port)","0305 Fish, Dried, Salted Etc, Smoked Etc; Ed Fish Meal",1777390,1777390,663776,,,1777390,663776
"Wrangell, AK (Port)","0710 Vegetables (raw Or Cooked By Steam Etc), Frozen",18212,,,,,,
"Baltimore, MD (Port)","0201 Meat Of Bovine Animals, Fresh Or Chilled",99710,99710,33743,,,99710,33743
"Baltimore, MD (Port)","0202 Meat Of Bovine Animals, Frozen",404340,404340,53643,,,394705,52965
"Baltimore, MD (Port)","0203 Meat Of Swine (pork), Fresh, Chilled Or Frozen",18049141,18049141,6854390,,,17074641,6348626
"Baltimore, MD (Port)","0206 Ed Offal, Bovine, Swine, Sheep, Goat, Horse, Etc.",1413439,1413439,1353959,,,1381597,1340563
"Baltimore, MD (Port)","0207 Meat & Ed Offal Of Poultry, Fresh, Chill Or Frozen",45167363,45167363,36144799,,,12758618,10243133
"Baltimore, MD (Port)",0209 Pig/poultry Fat Frsh Chld Frz Salt Brine Dried Smk,37800,37800,29400,,,37800,29400
"Baltimore, MD (Port)","0210 Meat & Ed Offal Salted, Dried Etc. & Flour & Meal",3429356,3429356,1818395,,,3178428,1697419
"Baltimore, MD (Port)","0303 Fish, Frozen (no Fish Fillets Or Other Fish Meat)",161649,161649,69972,,,161649,69972
"Baltimore, MD (Port)","0304 Fish Fillets & Oth Fish Meat, Fresh, Chill Or Froz",870820,870820,174035,,,870820,174035
"Baltimore, MD (Port)",0306 Crustaceans Live Frsh Etc Smoked/cooked Flours Etc,411524,411524,68169,,,411524,68169
"Baltimore, MD (Port)","0402 Milk And Cream, Concentrated Or Sweetened",3259987,3259987,1411771,,,3102487,1310811
"Baltimore, MD (Port)","0403 Buttermilk, Yogurt, Kephir Etc, Flavord Etc Or Not",25357,25357,4741,,,15059,2590
"Baltimore, MD (Port)","0404 Whey & Milk Products, Sweetened Etc. Or Not, Nesoi",1280862,1280862,986840,,,989778,734587
"Baltimore, MD (Port)",0405 Butter And Other Fats And Oils Derived From Milk,4384110,4384110,1208209,,,4015422,1096614
"Baltimore, MD (Port)",0406 Cheese And Curd,3632428,3632428,986679,,,2681936,696963
"Baltimore, MD (Port)","0408 Birds' Eggs, Not In Shell & Yolks, Fresh, Dry, Etc",47740,47740,11822,,,47740,11822
"Baltimore, MD (Port)","0410 Edible Products Of Animal Origin, Nesoi",50000,50000,21093,,,,
"Baltimore, MD (Port)","0504 Animal (not Fish) Guts, Bladders, Stomachs & Parts",5314850,5314850,2962671,,,5314850,2962671
"Baltimore, MD (Port)",0505 Bird Skins & Other Feathered Parts And Down,11972,11972,1483,,,,
"Baltimore, MD (Port)","0602 Live Plants Nesoi, Cuttings Etc.; Mushroom Spawn",422113,422113,217577,,,381364,188441
"Baltimore, MD (Port)","0709 Vegetables Nesoi, Fresh Or Chilled",24242,24242,20169,,,,
"Baltimore, MD (Port)","0710 Vegetables (raw Or Cooked By Steam Etc), Frozen",816705,816705,537497,,,816705,537497
"Baltimore, MD (Port)","0711 Vegetables, Temporarily Preserved, Not Now Edible",21283,21283,31009,,,,
"Baltimore, MD (Port)","0712 Vegetables, Dried, Whole, Cut Etc., No Added Prep",487064,487064,112146,,,357630,77492
"Baltimore, MD (Port)","0713 Leguminous Vegetables, Dried Shelled",105542,105542,86959,,,,
"Baltimore, MD (Port)","0802 Nuts Nesoi, Fresh Or Dried",119229,119229,12057,,,4141,830
"Baltimore, MD (Port)","0810 Fruit Nesoi, Fresh",81540,81540,34846,,,63680,15386
"Baltimore, MD (Port)","0811 Fruit & Nuts (raw Or Cooked By Steam Etc), Frozen",152249,152249,95259,,,117029,56848
"Baltimore, MD (Port)",0813 Fruit Dried Nesoi; Mixtures Of Nuts Or Dried Fruit,201392,201392,62975,,,184049,58798
"Baltimore, MD (Port)",0901 Coffee; Coffee Husks Etc; Substitutes With Coffee,2233474,2233474,226989,,,153026,40523
"Baltimore, MD (Port)","0902 Tea, Whether Or Not Flavored",21559,21559,485,,,,
"Baltimore, MD (Port)","0904 Pepper, Genus Piper; Genus Capsicum Or Pimenta",3901648,3901648,995730,,,3109488,698685
"Baltimore, MD (Port)",0906 Cinnamon And Cinnamon-tree Flowers,58139,58139,9980,,,36410,8404
"Baltimore, MD (Port)","0908 Nutmeg, Mace And Cardamoms",26984,26984,1271,,,22297,1105
"Baltimore, MD (Port)",0909 Seeds Anise Badian Fennl Coriandr Etc; Junpr Berrs,227587,227587,77151,,,202065,67655
"Baltimore, MD (Port)","0910 Ginger, Saffron, Tumeric, Thyme, Bay Leaves Etc.",3500498,3500498,812328,,,2599604,575074
"Baltimore, MD (Port)",1005 Corn (maize),2082505,2082505,667485,,,128112,137395
"Baltimore, MD (Port)",1006 Rice,79999,79999,61111,,,79999,61111
"Baltimore, MD (Port)","1008 Buckwheat, Millet And Canary Seeds; Other Cereals",408585,408585,1031230,,,408585,1031230
"Baltimore, MD (Port)",1101 Wheat Or Meslin Flour,41321,41321,40519,,,41321,40519
"Baltimore, MD (Port)","1105 Flour, Meal Flakes, Granules & Pellets Of Potatoes",40641,40641,20509,,,40641,20509
"Baltimore, MD (Port)","1106 Flour & Meal Of Dry, Legum Vegs, Sago, Fruit Etc.",472160,472160,207998,,,363200,159999
"Baltimore, MD (Port)","1107 Malt, Whether Or Not Roasted",109511,109511,102739,,,71658,71632
"Baltimore, MD (Port)",1108 Starches; Inulin,321845,321845,316349,,,321845,316349
"Baltimore, MD (Port)","1109 Wheat Gluten, Whether Or Not Dried",50000,50000,38293,,,50000,38293
"Baltimore, MD (Port)","1201 Soybeans, Whether Or Not Broken",3638954,3638954,7871291,,,439400,990000
"Baltimore, MD (Port)","1206 Sunflower Seeds, Whether Or Not Broken",28920,28920,20656,,,,
"Baltimore, MD (Port)","1207 Oil Seeds & Oleaginous Fruits Nesoi, Broken Or Not",108855,108855,203470,,,108855,203470
"Baltimore, MD (Port)",1208 Flour & Meal Of Oil Seed & Olea Fruit (no Mustard),3869694,3869694,6438753,,,35700,115760
"Baltimore, MD (Port)","1209 Seeds, Fruit And Spores, For Sowing",128281,128281,73083,,,128281,73083
"Baltimore, MD (Port)","1211 Plants Etc For Pharmacy, Perfume, Insecticides Etc",202882,202882,29585,,,144849,23889
"Baltimore, MD (Port)","1301 Lac; Natural Gums, Resins, Gum-resins And Balsams",3342015,3342015,779941,,,1511611,403576
"Baltimore, MD (Port)",1302 Veg Saps & Extracts; Pectates Etc; Agar-agar Etc.,18187239,18187239,790050,,,13881493,681473
"Baltimore, MD (Port)","1504 Fats & Oils, Their Fractions, Fish & Marine Mammal",180653,180653,16338,,,180653,16338
"Baltimore, MD (Port)",1505 Wool Grease & Fatty Substances Derived Therefrom,37396,37396,2955,,,,
"Baltimore, MD (Port)","1507 Soybean Oil & Its Fractions, Not Chemic Modified",30080,30080,21319,,,,
"Baltimore, MD (Port)","1509 Olive Oil & Its Fractions, Not Chemically Modified",733045,733045,322462,,,704663,305649
"Baltimore, MD (Port)","1515 Fixed Veg Fats & Oils Nesoi Etc, Not Chem Modified",85636,85636,48480,,,28710,19753
"Baltimore, MD (Port)","1516 An Or Veg Fats & Oils, Hydrogen Etc, Not Fur Prep",8491,8491,1702,,,8491,1702
"Baltimore, MD (Port)",1517 Margarine; Edible Mixtures Etc An Or Veg Fat & Oil,139562,139562,161642,,,139562,161642
"Baltimore, MD (Port)",1518 Anml/veg Fats & Oils Chem Modified; Inedbl Mxt Etc,764311,764311,226777,,,41016,23212
"Baltimore, MD (Port)","1520 Glycerol (glycerine), Glycerol Waters And Lyes",167822,167822,161341,,,167822,161341
"Baltimore, MD (Port)","1521 Veg Waxes Nesoi, Beeswax Etc And Spermaceti",14683,14683,375,,,14683,375
"Baltimore, MD (Port)","1601 Sausages, Similar Prdt Meat Etc Food Prep Of These",247837,247837,49185,,,247837,49185
"Baltimore, MD (Port)","1602 Prepared Or Preserv Meat, Meat Offal & Blood Nesoi",3034557,3034557,976841,,,2222490,811954
"Baltimore, MD (Port)","1603 Extracts Etc. Of Meat, Fish, Crustaceans, Etc.",528454,528454,324893,,,528454,324893
"Baltimore, MD (Port)",1604 Prep Or Pres Fish; Caviar & Caviar Substitutes,169391,169391,96797,,,169391,96797
"Baltimore, MD (Port)","1605 Crustaceans, Molluscs Etc. Prepared Or Preserved",402403,402403,70686,,,402403,70686
"Baltimore, MD (Port)","1701 Cane Or Beet Sugar & Chem Pure Sucrose, Solid Form",1343012,1343012,1975611,,,1082133,1416535
"Baltimore, MD (Port)","1702 Sugars Nesoi, Incl Chem Pure Lactose Etc; Caramel",2137577,2137577,2637156,,,1890336,2373281
"Baltimore, MD (Port)","1704 Sugar Confection (incl White Chocolate), No Cocoa",2777513,2777513,585232,,,2663066,567467
"Baltimore, MD (Port)","1801 Cocoa Beans, Whole Or Broken, Raw Or Roasted",38683,38683,18144,,,38683,18144
"Baltimore, MD (Port)","1805 Cocoa Powder, Not Sweetened",502792,502792,187063,,,502792,187063
"Baltimore, MD (Port)",1806 Chocolate & Other Food Products Containing Cocoa,18213228,18213228,2740384,,,17043760,2481958
"Baltimore, MD (Port)",1901 Malt Ext; Food Prep Of Flour Etc Un 40% Cocoa Etc,6187905,6187905,1841781,,,5736013,1605805
"Baltimore, MD (Port)","1902 Pasta, Prepared Or Not; Couscous, Prepared Or Not",589458,589458,293527,,,56396,30421
"Baltimore, MD (Port)","1904 Foods Prep By Swell Cereal; Cereal Nesoi, Grain Fm",3068116,3068116,1755425,,,3038617,1744484
"Baltimore, MD (Port)","1905 Bread, Pastry, Cakes Etc; Comm Wafrs, Emp Caps Etc",8905479,8905479,3235377,,,4564983,1563183
"Baltimore, MD (Port)","2001 Veg, Fruit, Nuts Etc, Prep Or Pres By Vinegar Etc",48379,48379,46099,,,48379,46099
"Baltimore, MD (Port)","2004 Vegetables Nesoi Prepared Or Preserv Nesoi, Frozen",22770,22770,20560,,,,
"Baltimore, MD (Port)","2005 Vegetables Nesoi Prepared Etc Nesoi, Not Frozen",3254062,3254062,2364459,,,1844849,1617721
